year,make,model,body,transmission,condition,odometer,color,interior,mmr,sellingprice
2011,Lexus,HS 250h,sedan,automatic,35.0,42419.0,silver,black,17300.0,16500.0
2007,Nissan,Sentra,Sedan,,19.0,91467.0,blue,gray,4500.0,4500.0
2002,Pontiac,Sunfire,Coupe,automatic,2.0,45237.0,red,black,1650.0,1300.0
2010,Toyota,RAV4,suv,automatic,26.0,87653.0,gray,beige,10650.0,9800.0
2012,Honda,Accord,Sedan,automatic,37.0,34382.0,black,black,13900.0,14400.0
2011,Nissan,Rogue,SUV,automatic,27.0,9271.0,black,gray,15900.0,14500.0
2003,Mercedes-Benz,E-Class,Sedan,automatic,36.0,166139.0,blue,gray,3825.0,4100.0
2012,Chevrolet,Camaro,Coupe,,2.0,39202.0,black,—,16750.0,8500.0
1994,Honda,Accord,Sedan,automatic,2.0,226017.0,blue,—,825.0,700.0
2013,Hyundai,Accent,Sedan,automatic,32.0,29992.0,red,tan,9825.0,8000.0
2014,Hyundai,Sonata,Sedan,automatic,45.0,28016.0,blue,gray,13700.0,13500.0
2012,Ford,Edge,SUV,automatic,45.0,36024.0,—,black,19800.0,24100.0
2014,Audi,allroad,Wagon,automatic,49.0,7110.0,gray,gray,36300.0,36200.0
2011,Hyundai,Santa Fe,SUV,automatic,43.0,45735.0,gray,gray,11550.0,12000.0
2012,BMW,1 Series,coupe,manual,41.0,43609.0,gray,beige,17400.0,18100.0
2014,Dodge,Avenger,Sedan,automatic,42.0,7653.0,blue,black,12400.0,12200.0
2008,Ford,Econoline Cargo,van,,23.0,175560.0,white,gray,6500.0,6100.0
2013,Nissan,Altima,Sedan,automatic,38.0,20895.0,white,black,14300.0,16250.0
2004,Audi,S4,sedan,automatic,37.0,105257.0,gray,black,6450.0,7000.0
2014,Ford,Taurus,Sedan,automatic,37.0,30239.0,silver,tan,23100.0,22100.0
2011,Jeep,Wrangler,SUV,,43.0,25339.0,white,black,26700.0,26000.0
2012,Nissan,Altima,Sedan,,36.0,25938.0,gray,black,12850.0,11900.0
2014,Toyota,Corolla,Sedan,automatic,3.0,24552.0,black,gray,13100.0,11000.0
2004,Ford,Expedition,SUV,automatic,34.0,132078.0,black,—,5525.0,7100.0
2008,MINI,Cooper Clubman,Hatchback,manual,35.0,56242.0,brown,black,8450.0,6600.0
2009,Ford,Ranger,Regular Cab,manual,28.0,124865.0,white,gray,4250.0,3200.0
2002,Ford,Explorer,SUV,automatic,24.0,153625.0,gold,beige,1725.0,2300.0
2008,Saturn,Aura,Sedan,automatic,26.0,91414.0,beige,tan,4900.0,5900.0
2013,Kia,Forte,Sedan,automatic,46.0,21941.0,silver,gray,10900.0,10900.0
2013,Mercedes-Benz,C-Class,Sedan,automatic,41.0,18483.0,white,tan,23200.0,24750.0
2010,Chevrolet,Impala,Sedan,automatic,32.0,123879.0,white,black,5225.0,5800.0
2014,Chrysler,Town and Country,Minivan,automatic,36.0,45398.0,gray,black,19000.0,19000.0
2012,Lexus,RX 350,suv,automatic,26.0,28457.0,gray,black,27000.0,24400.0
2011,Chrysler,200,Sedan,automatic,4.0,56041.0,red,beige,10150.0,10700.0
2011,BMW,3 Series,Coupe,automatic,46.0,41599.0,gray,black,22300.0,23500.0
2011,Chevrolet,Impala,Sedan,automatic,35.0,42433.0,black,black,9300.0,10000.0
2011,Honda,CR-V,suv,automatic,34.0,65769.0,silver,gray,12450.0,12600.0
2013,Nissan,Altima,Sedan,automatic,28.0,23547.0,blue,black,13900.0,13400.0
2014,Chevrolet,Cruze,Sedan,automatic,4.0,19309.0,gray,gray,12500.0,12900.0
2011,GMC,Acadia,suv,automatic,44.0,71721.0,white,beige,19100.0,19100.0
2000,Toyota,4Runner,suv,automatic,2.0,175571.0,black,gray,2675.0,3300.0
2014,Volvo,S60,Sedan,,44.0,4290.0,black,beige,21900.0,24000.0
2014,Kia,Forte,Sedan,automatic,45.0,8765.0,brown,beige,12850.0,13000.0
2013,Ford,Escape,SUV,automatic,46.0,31249.0,—,black,21900.0,22600.0
2012,Hyundai,Sonata Hybrid,Sedan,automatic,39.0,29003.0,red,tan,14850.0,16600.0
2014,Kia,Forte,Sedan,automatic,4.0,14748.0,gray,gray,12500.0,11800.0
2013,Chevrolet,Malibu,Sedan,automatic,27.0,46927.0,blue,black,12700.0,11200.0
2012,Infiniti,G Sedan,G Sedan,,29.0,23840.0,gray,black,19750.0,19200.0
2012,Kia,Sorento,SUV,automatic,47.0,47339.0,gray,gray,13950.0,16000.0
2012,Chevrolet,Silverado 1500,Crew Cab,automatic,35.0,54697.0,white,gray,25400.0,26400.0
2005,Honda,Accord,sedan,automatic,2.0,107862.0,black,beige,4775.0,4800.0
2011,Chrysler,200,Sedan,,42.0,40322.0,white,black,9475.0,9600.0
2002,Buick,Rendezvous,SUV,automatic,27.0,174245.0,gray,gray,1950.0,1100.0
2014,Mercedes-Benz,GL-Class,SUV,automatic,44.0,7953.0,black,black,78000.0,70000.0
2008,Toyota,Prius,Hatchback,automatic,34.0,94795.0,black,gray,7200.0,9000.0
2012,BMW,3 Series,Coupe,automatic,47.0,24984.0,black,black,22600.0,23250.0
2010,Ford,Focus,sedan,automatic,35.0,52874.0,—,black,7250.0,7400.0
2005,Ford,Econoline Cargo,Van,automatic,19.0,133028.0,red,gray,4400.0,2100.0
2012,Ford,Fusion,sedan,automatic,35.0,36139.0,gray,black,12550.0,12300.0
